Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,AppName__c,Command__c,Enabled__c,ErrorMessage__c,Expected__c,ExtId__c,Fix__c,Message__c,Operation__c,Order__c
a00L000000937ZoIAI,005L0000004PQJaIAO,false,ACT-0010,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,VS Code Plugin (2/7),C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-apex-43*,true,Invalid response received,salesforce.salesforcedx-vscode-apex-43,a00L000000937ZoIAI,Please ensure VS Plugins are installed. https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-vscode,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-apex-43*,Check Path,23
a00L000000937ZpIAI,005L0000004PQJaIAO,false,ACT-0011,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Desktop Image,Computer background image?,true,User could not validate: Computer background image?,User validated: Computer background image?,a00L000000937ZpIAI,,User validated: Computer background image?,Manual,5
a00L000000937ZqIAI,005L0000004PQJaIAO,false,ACT-0012,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,VS Code Plugin (4/7),C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-core-43*,true,Invalid response received,salesforce.salesforcedx-vscode-core-43,a00L000000937ZqIAI,Please ensure VS Plugins are installed. https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-vscode,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-core-43*,Check Path,25
a00L000000937ZrIAI,005L0000004PQJaIAO,false,ACT-0013,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Plugin Resize,c:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Extensions\bkpenclhmiealbebdopglffmfdiilejc\2.3.3_0\package.json,true,Invalid response received,package.json,a00L000000937ZrIAI,Please install plugin from here: https://chrome.google.com/webstore/detail/tab-resize-split-screen-l/bkpenclhmiealbebdopglffmfdiilejc,Checking path: c:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Extensions\bkpenclhmiealbebdopglffmfdiilejc\2.3.3_0\package.json,Check Path,16
a00L000000937ZsIAI,005L0000004PQJaIAO,false,ACT-0014,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Git config name,"git config --global user.name ""Your Name""",true,"Could not validate: Git config name (git config --global user.name ""Your Name"")",,a00L000000937ZsIAI,,"Validating: Git config name (git config --global user.name ""Your Name"")",Check Contains,33
a00L000000937ZtIAI,005L0000004PQJaIAO,false,ACT-0015,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Firefox + Salesforce is homepage,C:\Users\Public\Desktop\Firefox.lnk,true,"Unable to open application: ""Firefox + Salesforce is homepage""",Application was opened from shortcut,a00L000000937ZtIAI,,"Opening Application: ""Firefox + Salesforce is homepage"". Was this succesful?",Open Application,8
a00L000000937ZuIAI,005L0000004PQJaIAO,false,ACT-0016,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Trailmix Thu (2006),C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Trailmix Thu (2006),Bookmark is correct,a00L000000937ZuIAI,,Validating: Chrome: Bookmark: Trailmix Thu (2006),Chrome Bookmark,45
a00L000000937ZvIAI,005L0000004PQJaIAO,false,ACT-0017,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Sticker,Sticker with computer number?,true,User could not validate: Sticker with computer number?,User validated: Sticker with computer number?,a00L000000937ZvIAI,,User validated: Sticker with computer number?,Manual,4
a00L000000937ZwIAI,005L0000004PQJaIAO,false,ACT-0018,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome + Salesforce is homepage,"""C:\Users\Public\Desktop\Google Chrome.lnk""",true,"Unable to open application: ""Chrome + Salesforce is homepage""",Application was opened from shortcut,a00L000000937ZwIAI,,"Opening Application: ""Chrome + Salesforce is homepage"". Was this succesful?",Open Application,9
a00L000000937ZxIAI,005L0000004PQJaIAO,false,ACT-0019,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,7-Zip,"""C:\Program Files\7-Zip\7z.exe"" -version",true,"Could not validate: 7-Zip (""C:\Program Files\7-Zip\7z.exe"" -version)",7-Zip 18.01 (x64),a00L000000937ZxIAI,,"Validating: 7-Zip (""C:\Program Files\7-Zip\7z.exe"" -version)",Check Contains,36
a00L000000937ZyIAI,005L0000004PQJaIAO,false,ACT-0020,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Trailmix Wed (2008),C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Trailmix Wed (2008),Bookmark is correct,a00L000000937ZyIAI,,Validating: Chrome: Bookmark: Trailmix Wed (2008),Chrome Bookmark,43
a00L000000937ZzIAI,005L0000004PQJaIAO,false,ACT-0021,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Say Hi,Application Tester built by Andres Perez (ELTORO.IT),true,,,a00L000000937ZzIAI,,,Write,2
a00L000000937a0IAA,005L0000004PQJaIAO,false,ACT-0022,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Python,python --version,true,Could not validate: Python (python --version),Python 2.7.14,a00L000000937a0IAA,,Validating: Python (python --version),Check Contains,38
a00L000000937a1IAA,005L0000004PQJaIAO,false,ACT-0023,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,VS Code Plugin (6/7),C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-visualforce-43*,true,Invalid response received,salesforce.salesforcedx-vscode-visualforce-43,a00L000000937a1IAA,Please ensure VS Plugins are installed. https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-vscode,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-visualforce-43*,Check Path,27
a00L000000937a2IAA,005L0000004PQJaIAO,false,ACT-0024,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Java SDK,C:\Program Files\java\jdk1.8*,true,Invalid response received,jdk1.8,a00L000000937a2IAA,"Please ensure Java JDK is installed. http://www.oracle.com/technetwork/java/javase/downloads/jdk8-downloads-2133151.html""",Checking path: C:\Program Files\java\jdk1.8*,Check Path,17
a00L000000937a3IAA,005L0000004PQJaIAO,false,ACT-0025,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Mimeo Ebook,C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Mimeo Ebook,Bookmark is correct,a00L000000937a3IAA,,Validating: Chrome: Bookmark: Mimeo Ebook,Chrome Bookmark,49
a00L000000937a4IAA,005L0000004PQJaIAO,false,ACT-0026,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Git config email,"git config --global user.email ""you@example.com""",true,"Could not validate: Git config email (git config --global user.email ""you@example.com"")",,a00L000000937a4IAA,,"Validating: Git config email (git config --global user.email ""you@example.com"")",Check Contains,32
a00L000000937a5IAA,005L0000004PQJaIAO,false,ACT-0027,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,MANUAL CHECKS,=== === === MANUAL CHECKS === === ===,true,,,a00L000000937a5IAA,,,Write,3
a00L000000937a6IAA,005L0000004PQJaIAO,false,ACT-0028,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Git 2.18,git --version,true,Could not validate: Git 2.18 (git --version),git version 2.18,a00L000000937a6IAA,Download from here: https://git-scm.com/download/win,Validating: Git 2.18 (git --version),Check Contains,31
a00L000000937a7IAA,005L0000004PQJaIAO,false,ACT-0029,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Kahoot!,C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Kahoot!,Bookmark is correct,a00L000000937a7IAA,,Validating: Chrome: Bookmark: Kahoot!,Chrome Bookmark,50
a00L000000937a8IAA,005L0000004PQJaIAO,false,ACT-0030,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Node,node --version,true,Invalid response received,v9.6.1,a00L000000937a8IAA,,Checking exact: node --version,Check Exact,37
a00L000000937a9IAA,005L0000004PQJaIAO,false,ACT-0031,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Ruby,ruby --version,true,Invalid response received,ruby 2.4.3p205 (2017-12-14 revision 61247) [x64-mingw32],a00L000000937a9IAA,Download from here: https://github.com/oneclick/rubyinstaller2/releases/download/rubyinstaller-2.4.3-1/rubyinstaller-2.4.3-1-x64.exe,Checking exact: ruby --version,Check Exact,34
a00L000000937aAIAQ,005L0000004PQJaIAO,false,ACT-0032,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,SFDX (Shell),C:\Users\Admin\AppData\Roaming\Code\User\settings.json,true,Invalid response received,,a00L000000937aAIAQ,,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-visualforce-42*,JSON File - Edit,29
a00L000000937aBIAQ,005L0000004PQJaIAO,false,ACT-0033,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Desktop: Data Loader,C:\Users\Admin\Desktop\Dataloader.lnk,true,"Unable to open application: ""Desktop: Data Loader""",Application was opened from shortcut,a00L000000937aBIAQ,,"Opening Application: ""Desktop: Data Loader"". Was this succesful?",Open Application,6
a00L000000937aCIAQ,005L0000004PQJaIAO,false,ACT-0034,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,VS Code Version,code --version,true,Could not validate: VS Code Version (code --version),1.25.1,a00L000000937aCIAQ,,Validating: VS Code Version (code --version),Check Contains,21
a00L000000937aDIAQ,005L0000004PQJaIAO,false,ACT-0035,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Trailmix Wed (2010/12),C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Trailmix Wed (2010/12),Bookmark is correct,a00L000000937aDIAQ,,Validating: Chrome: Bookmark: Trailmix Wed (2010/12),Chrome Bookmark,44
a00L000000937aEIAQ,005L0000004PQJaIAO,false,ACT-0036,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: TrailheaDX,C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: TrailheaDX,Bookmark is correct,a00L000000937aEIAQ,,Validating: Chrome: Bookmark: TrailheaDX,Chrome Bookmark,41
a00L000000937aFIAQ,005L0000004PQJaIAO,false,ACT-0037,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Trailmix Wed (2006),C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Trailmix Wed (2006),Bookmark is correct,a00L000000937aFIAQ,,Validating: Chrome: Bookmark: Trailmix Wed (2006),Chrome Bookmark,42
a00L000000937aGIAQ,005L0000004PQJaIAO,false,ACT-0038,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Trailmix Thu (2010/12),C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Trailmix Thu (2010/12),Bookmark is correct,a00L000000937aGIAQ,,Validating: Chrome: Bookmark: Trailmix Thu (2010/12),Chrome Bookmark,47
a00L000000937aHIAQ,005L0000004PQJaIAO,false,ACT-0039,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Trailmix Thu (2008),C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Trailmix Thu (2008),Bookmark is correct,a00L000000937aHIAQ,,Validating: Chrome: Bookmark: Trailmix Thu (2008),Chrome Bookmark,46
a00L000000937aIIAQ,005L0000004PQJaIAO,false,ACT-0040,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: Login,C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: Login,Bookmark is correct,a00L000000937aIIAQ,,Validating: Chrome: Bookmark: Login,Chrome Bookmark,39
a00L000000937aJIAQ,005L0000004PQJaIAO,false,ACT-0041,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Chrome: Bookmark: SFDC Certification,C:\Users\Admin\AppData\Local\Google\Chrome\User Data\Default\Bookmarks,true,Could not validate: Chrome: Bookmark: SFDC Certification,Bookmark is correct,a00L000000937aJIAQ,,Validating: Chrome: Bookmark: SFDC Certification,Chrome Bookmark,48
a00L000000937aKIAQ,005L0000004PQJaIAO,false,ACT-0042,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,VS Code Plugin (1/7),C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-43*,true,Invalid response received,salesforce.salesforcedx-vscode-43,a00L000000937aKIAQ,Please ensure VS Plugins are installed. https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-vscode,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-43*,Check Path,22
a00L000000937aLIAQ,005L0000004PQJaIAO,false,ACT-0043,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,AUTOMATED TESTS,=== === === AUTOMATED CHECKS === === ===,true,,,a00L000000937aLIAQ,,,Write,12
a00L000000937aMIAQ,005L0000004PQJaIAO,false,ACT-0044,2018-08-23T23:44:01.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:24.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Desktop: Notepad++,C:\Users\Public\Desktop\Notepad++.lnk,true,"Unable to open application: ""Desktop: Notepad++""",Application was opened from shortcut,a00L000000937aMIAQ,,"Opening Application: ""Desktop: Notepad++"". Was this succesful?",Open Application,7
a00L00000093AXnIAM,005L0000004PQJaIAO,false,ACT-0052,2018-08-25T21:16:10.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:24.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Postman,C:\Users\Admin\AppData\Local\Postman\Update.exe,true,Invalid response received,Update.exe,a00L00000093AXnIAM,"Postman is missing, install from here: https://www.getpostman.com/",Checking path: C:\Users\Admin\AppData\Local\Postman\Update.exe,Check Path,14
a00L00000093AYCIA2,005L0000004PQJaIAO,false,ACT-0055,2018-08-25T22:14:29.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:24.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,VS Code Plugin (7/7),C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-apex-replay-debugger-43*,true,Invalid response received,salesforce.salesforcedx-vscode-apex-replay-debugger-43,a00L00000093AYCIA2,Please ensure VS Plugins are installed. https://marketplace.visualstudio.com/items?itemName=salesforce.salesforcedx-vscode,Checking path: C:\Users\Admin\.vscode\extensions\salesforce.salesforcedx-vscode-apex-replay-debugger-43*,Check Path,28
a00L00000093AXJIA2,005L0000004PQJaIAO,false,ACT-0048,2018-08-25T20:27:16.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:24.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Check Curl version,curl --version,true,Could not validate: Check Curl version (curl --version),curl 7.55.1 (Windows) libcurl/7.55.1 WinSSL,a00L00000093AXJIA2,Please ensure Curl is installed. https://curl.haxx.se/download.html,Validating: Check Curl version (curl --version),Check Contains,19
a00L00000093AXYIA2,005L0000004PQJaIAO,false,ACT-0049,2018-08-25T21:07:36.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:23.000+0000,005L0000004PQJaIAO,2018-08-26T01:42:24.000+0000,2018-08-26T01:42:23.000+0000,2018-08-26T01:42:23.000+0000,Notepad,C:\Windows\Notepad.exe,true,Invalid response received,Notepad.exe,a00L00000093AXYIA2,Notepad is missing!,Checking path: C:\Windows\Notepad.exe,Check Path,13
